DISTRICT,ACTIVITY,DATE,RATING,PARTY,ASSEMBLY
CHENNAI,"Provided Financial assistance to 300 executives of the Kolathur West Region Corporation, 25 kg of rice and groceries. ","Sunday, May 10, 2020",2,DMK,KOLATHUR
CHENNAI, #Seeman provided essential commodities including rice and lentils for a month to the families of 50 Eelam natives living in the Chennai area valasaravakkam,"Sunday, May 10, 2020",1,NTK,MADURAVOYAL
CHENNAI,"14 vehicles equipped with state-of-the-art X-ray equipment"" for rapid detection of heart infections and Covid-borne infections worth Rs.5.48 crores has come to now for people use","Monday, May 11, 2020",4.47 ,ADMK,No Data
CHENNAI,"South chennai west zone 174 ward 500 members were given rice, vegetables and groceries by Virugai Ravi ","Monday, May 11, 2020",2.45 ,ADMK,VIRUGAMPAKKAM
CHENNAI,"In RK nagar 245 families of booth committe executives were given Rice, Dal, groceries by MLA Rajesh","Monday, May 11, 2020",2,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,"
Provided rice, groceries, vegetables and financial assistance to the people of Kolathur, Ports, Tiru-vi-ka nagar, Egmore ","Monday, May 11, 2020",2,DMK,KOLATHUR
CHENNAI,"Bhattacharyas, Priests, Archbishops, Priests, Saints, Bandaras, Ears, Potters has been given additional Rs.1000 Cash relief ","Tuesday, May 12, 2020",2,ADMK,No Data
CHENNAI,In RK nagar 41th circle Sunami resisdance 650 families were given relief aid by mla Rajesh,"Tuesday, May 12, 2020",2.45 ,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,"News about homeless pregnant woman leaving home @PTTVOnlineNews MLA Arvind Ramesh, who met the woman in person, offered 3 months rent and groceries","Tuesday, May 12, 2020",1,DMK,No Data
CHENNAI,"Relief aid was given tofamilies in theKolathur,Villivakkam,Harbour","Tuesday, May 12, 2020",2,DMK,KOLATHUR
CHENNAI,In RK nagar 41th circle Sunami resisdance 500 families were given relief aid by mla Rajesh,"Wednesday, May 13, 2020",2.45 ,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,"Provided Essential grocery items such as rice, Grocery, oil in Thousand Light constituency","Wednesday, May 13, 2020",2,DMK,THOUSAND LIGHTS
CHENNAI,A family of 55 workers along Bharathidasan Road was provided with food essentials,"Wednesday, May 13, 2020",1,TMC,VIRUGAMPAKKAM
CHENNAI,Provided welfare assistance to 100 families.,"Wednesday, May 13, 2020",2,TMC,No Data
CHENNAI,"1000 families in new washermenpet  constituency, distributed 5 kg rice, 2kg wheat flour and Masks by MLA Rajesh","Thursday, May 14, 2020",3,ADMK,ROYAPURAM
CHENNAI,"2500  families in MGR nagar constituency, distributed Rice, groceries  by MLA Ravi","Thursday, May 14, 2020",3,ADMK,VIRUGAMPAKKAM
CHENNAI,The 26 L people residing in slum will be given each 2 masks and totally 52 Lakh mask will be provided,"Thursday, May 14, 2020",10 ,ADMK,No Data
CHENNAI,"760 people were given Rice and grocery , Rs. 500 funded with rice and groceries for 118 barbers and Person with Disablities ","Thursday, May 14, 2020",2,DMK,No Data
CHENNAI,"Abhiyanaya, a student of the institute, which has been set up by the Vice Secretary of the Vidyalaya for the benefit of the disadvantaged student who wants to take the IAS exam, gave a smart phone to read online. Congratulations to Abhinaya","Thursday, May 14, 2020",1,DMK,No Data
CHENNAI,"Provided rice, groceries and vegetables to 650 persons including a cleaning worker, a transporter and a temple priest. Chennai North General Secretary Sudarsanam MLA, Dr. Dr. Veerachami MP and many others were present.","Thursday, May 14, 2020",2.45 ,DMK,No Data
CHENNAI," 1000 families of Virugambakkam constituency, distributed rice, groceries and vegetables. ","Thursday, May 14, 2020",3,DMK,VIRUGAMPAKKAM
CHENNAI,"Provided 20 varieties of groceries, rice and masks to the Prabhakarraja Organizer, Chennai South, for the 3024 family, including auto driver, transgender, laundry and hairdresser. ","Thursday, May 14, 2020",3,DMK,No Data
CHENNAI,"Provided rice, groceries and vegetables to 610 alternates of Kannaki Nagar, mostly Semmenjeri town.","Thursday, May 14, 2020",2.45 ,DMK,THIRUPORUR
CHENNAI,"Provided Rice, vegetables, groceries and more than 1000 people attending the event held at the Welfare Marriage Hall in Royapettah and Financial assistance of Rs. 2000 each to 15 associates","Thursday, May 14, 2020",4.90 ,DMK,MYLAPORE
CHENNAI,"1.2 crores of high quality, low cost face masks have been prepared and distributed by the Women Self Help Groups & Various Self Employment Training Institutes. It has also been ordered to manufacture and provide an additional 1crore mask","Friday, May 15, 2020",10,ADMK,No Data
CHENNAI,"In 40th circle of Otha vadai, VOC nagar,New colony,Madavedhi and Kuil kuppam 300 families were given 5kg of rice","Friday, May 15, 2020",2,ADMK,No Data
CHENNAI,The 34  cleaning workers affected by Corono will be given relief of Rs.2 lakhs  each,"Friday, May 15, 2020",1,ADMK,No Data
CHENNAI,Rs.50 lakhs were given as relief fund from CM relief aid to Mr.Kumar VAO  who died while in job and govt job to anyone in family,"Friday, May 15, 2020",1,ADMK,No Data
CHENNAI,700 kg of Rice were given to DMK executives each 10kg of Rice in Thousand Light area,"Friday, May 15, 2020",2,DMK,THOUSAND LIGHTS
CHENNAI,"
The President of the Association ordered the barber, transgender, temple clergy, poor, 640 people who have lost their livelihoods, rice, groceries and sandwiches were given in Perambur constituency","Friday, May 15, 2020",2.45 ,DMK,PERAMBUR
CHENNAI,Provided rice for 500 families in Royapuram ,"Friday, May 15, 2020",2.45 ,DMK,ROYAPURAM
CHENNAI,5 kg rice was distributed to 700 families in Saidapet - Jyoti Ramalinga City.@Subramanian_ma   ,"Friday, May 15, 2020",2.45 ,DMK,SAIDAPET
CHENNAI,"Government of Tamil Nadu provides financial assistance of Rs.2000.Financial assistance of Rs. 2,000 for barber workers who are not members of welfare centers.Rs.2000 financial aid to barber workers will be given in two installments ","Saturday, May 16, 2020",2,ADMK,No Data
CHENNAI,"Introducing special ""lip gloss masks"" in Tamil Nadu to help hearing impaired and non-speech impaired communicate through the lips.Thereby 81,000 special facial shields are offered at a value of Rs.12.15 lakhs.","Saturday, May 16, 2020",9,ADMK,No Data
CHENNAI,#vijayabaskar #TNHealth Visited Chennai #Stanley Hospital. Had discussions with the Dean & Covid team. Overseen the setting up of an additional 300 bedded exclusive #Covid facility in the Stanley premises. ,"Saturday, May 16, 2020",2,ADMK,HARBOUR
CHENNAI,"Containment zones at Puliyanthope & Triplicane with Dr.J. Radhakrishnan IAS & Dr.Arun Thamburaj IAS.Interacted with public, frontline workers,sanitation workers,police personnel & gave away kabasura kudineer kits","Saturday, May 16, 2020",2,ADMK,CHEPAUK-THIRUVALLIKENI
CHENNAI," Virugambakkam constituency, distributed rice, groceries and vegetables. ","Saturday, May 16, 2020",2,ADMK,VIRUGAMPAKKAM
CHENNAI,"Provided Rice,Oil,Dals to the 1500 families in Egmore77 th  circle","Saturday, May 16, 2020",3,DMK,EGMORE
CHENNAI,Provided Rice for 500 families in Velachery  MGR nagar,"Saturday, May 16, 2020",2.45 ,DMK,VELACHERY
CHENNAI,"Today I handed over Rice, Grocery, Oil for 50 Family affected in lockdown in Arumbakkam Christian fellowship.","Saturday, May 16, 2020",1,INC Tamilnadu,ANNA NAGAR
CHENNAI,Royapuram Essential needs were given  to 58 families and #cleaning workers,"Saturday, May 16, 2020",1,TMC,ROYAPURAM
CHENNAI,"Relief aid was given to over 4600  families in the Saithi constituency, Velachery, Sholinganallur and Alandur","Sunday, May 17, 2020",3.46 ,DMK,SAIDAPET
CHENNAI,2500 families were provided food in chindhadaripet zone,"Sunday, May 17, 2020",3,DMK,CHEPAUK-THIRUVALLIKENI
CHENNAI,Provided rice to 100 transgenders in Nandhambakkam,"Sunday, May 17, 2020",2,DMK,NANDAMBAKKAM
CHENNAI,150 transgender people with groceries and face mask in and around chennai,"Sunday, May 17, 2020",2,MNM,No Data
CHENNAI,In RK nagar 1500  families were given relief aid by mla Rajesh,"Monday, May 18, 2020",3,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,In thousad lights  550  families were given relief aid of rice and vegetables  by mla Rajesh,"Monday, May 18, 2020",2.45 ,ADMK,THOUSAND LIGHTS
CHENNAI,"1500 families in Virugambakkam constituency, were given relief aid of Rs. 10 lakhs worth","Monday, May 18, 2020",3,ADMK,VIRUGAMPAKKAM
CHENNAI,"Relief aid was given to over 3200 families in the Saithi constituency, Kottur Canal, Erikkarai, Bharathi Avenue, Peliyamman Temple Street, Kalikkundaram, Narasingapuram, Nehru Nagar, Ganapathi Colony","Monday, May 18, 2020",3,DMK,SAIDAPET
CHENNAI,"Provided essential food, medical equipment and financial aid to 300 families affected by curfew in 55th circle of Harbour","Monday, May 18, 2020",2,DMK,HARBOUR
CHENNAI,"provided relief items including rice, food items to people  in Velachey and Taramani for 1000 families","Monday, May 18, 2020",3,DMK,VELACHERY
CHENNAI,"Relief aid was given tofamilies in the Sholinganallur zone 14,ward 186","Monday, May 18, 2020",2,DMK,SHOZHINGANALLUR
CHENNAI,"Relief items including rice, lentils and vegetables were presented to the public by Mr. T.R.Balu MP, Chairman of the Parliamentary Committee, to the general public under the 1st Ward, Tambaram","Monday, May 18, 2020",2,DMK,TAMBARAM
CHENNAI,6100 families were provided essential needs ,"Monday, May 18, 2020",3.46 ,DMK,No Data
CHENNAI,Maran is the district secretary who has helped 200 poor families on W U C Street in RK nagar,"Monday, May 18, 2020",2,MNM,DR.RADHAKRISHNAN NAGAR
CHENNAI,150+ in annanagar were given breakfast and Kabasura kudi neer ,"Monday, May 18, 2020",2,MNM,ANNA NAGAR
CHENNAI,Mrs. Priyadarshini led 150 autodriver  families with rice and vegetables.,"Monday, May 18, 2020",2,MNM,KOLATHUR
CHENNAI,150 people were given rice and groceries in Kolathur,"Monday, May 18, 2020",2,MNM,KOLATHUR
CHENNAI,"provided relief items including rice, lentils and vegetables to the Poor and needys in Tambaram ","Monday, May 18, 2020",2,DMK,TAMBARAM
CHENNAI,Provided rice and vegetables to the Auto drivers and 200 families in Tambaram,"Monday, May 18, 2020",2,DMK,TAMBARAM
CHENNAI,"In Thiruverkadu municipality, 3000 families who have no livelihood have been provided with 30 tonnes of rice and 20 tonnes of vegetables.","Monday, May 18, 2020",3,INC Tamilnadu,MADURAVOYAL
CHENNAI,Essential items were provided to 100 people living in poverty in egmore,"Monday, May 18, 2020",2,MNM,EGMORE
CHENNAI,3 families were given essentials needs in Porur,"Monday, May 18, 2020",1,MNM,MADURAVOYAL
CHENNAI,"COVID containment zones at Royapuram,Puliyanthoppu, Motilal Street with HS, Corp & Health Officials. Interacted with d people abt d measures taken by #TNGovt in fighting this #pandemic. Distributed kabasura kudineer","Tuesday, May 19, 2020",2,ADMK,ROYAPURAM
CHENNAI,"In north madras, 300 Auto drivers were given relief aid","Tuesday, May 19, 2020",2,ADMK,No Data
CHENNAI,Saidapet and Alandur Assembly constituencies in Chennai South Relief aid provided for 4000 families,"Tuesday, May 19, 2020",3.46 ,DMK,SAIDAPET
CHENNAI,Essentials need  were given 1500 families in Saidapet and alandur,"Tuesday, May 19, 2020",3,DMK,SAIDAPET
CHENNAI,50  vulnerable people were served with breakfast in annanagar,"Tuesday, May 19, 2020",1,MNM,ANNA NAGAR
CHENNAI,60 people were given rice and groceries in Tiruvikanagar,"Tuesday, May 19, 2020",1,MNM,THIRU-VI-KA-NAGAR
CHENNAI,"Relief aid was provided to 5000 families in the areas of Kothamedu, Anna Nagar,Salavai thurai,Appao Nagar, Old Mambalam Road, Tiruvidiyamman Temple Street and Muthurangam Block.","Tuesday, May 19, 2020",3.46 ,DMK,TNAGAR
CHENNAI,Provided rrice to 300 families in Tiruvikanagar,"Tuesday, May 19, 2020",2,DMK,THIRU-VI-KA-NAGAR
CHENNAI,Government grants Rs.2000 for unregistered weavers,"Wednesday, May 20, 2020",2,ADMK,No Data
CHENNAI,In Nyngambakkam 700 poor  families were given relief aid   by mla Sathya,"Wednesday, May 20, 2020",2.45 ,ADMK,THOUSAND LIGHTS
CHENNAI,"850 families were given relief aid in harbour,egmore and villivakkam","Wednesday, May 20, 2020",2.45 ,DMK,HARBOUR
CHENNAI,44 food items were delivered in the 74th Circle tiruvikanagar,"Wednesday, May 20, 2020",1,MNM,THIRU-VI-KA-NAGAR
CHENNAI,50 auto drivers  were given essential groceries,"Wednesday, May 20, 2020",1,MNM,No Data
CHENNAI,"Knowing the loss of livelihoods during this curfew, Kolathur Municipal Secretary @ DVasanthi2 on behalf of @maiamofficial provided them with groceries.","Wednesday, May 20, 2020",2,MNM,KOLATHUR
CHENNAI,#Rayapuram Essential needs were given  to Simple People and #cleaning workers as a 3 consecutive day,"Wednesday, May 20, 2020",2,TMC,ROYAPURAM
CHENNAI,5kg rice for poor families naar ganag theater in kolathur,"Wednesday, May 20, 2020",2,MNM,KOLATHUR
CHENNAI,In chenai harbour constituency apparao garden 450 people were given relief aid and financial assitance by minister jayakumar,"Thursday, May 21, 2020",2,ADMK,HARBOUR
CHENNAI,"In Tondairpet 42 circle, 550 families of Tsunami residents were given 5kg of rice","Thursday, May 21, 2020",2.45 ,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,Provided breakfast 900 cleaning workers in the Metropolitan Chennai Corporation Zone 6,"Thursday, May 21, 2020",2.45 ,DMK,THIRU-VI-KA-NAGAR
CHENNAI,Provided Non veg meal to cleaning workers in KK nagar by West DMK youth wing,"Thursday, May 21, 2020",2,DMK,VIRUGAMPAKKAM
CHENNAI,"Pump and water tank was installed in the 14th ward area of  the Tambaram town, people were given relief supplies, including rice and vegetables, to the poor families","Thursday, May 21, 2020",2,DMK,TAMBARAM
CHENNAI,4000 families in Virugambakkam and Saidapet assembly constituencies were given relief aid and 300 cleaners were given  food.,"Thursday, May 21, 2020",2,DMK,VIRUGAMPAKKAM
CHENNAI, Provided rice at a rate of 5 kg per 700 families in saidapet,"Thursday, May 21, 2020",2.45 ,DMK,SAIDAPET
CHENNAI,"Provided essential food, medical equipment and financial aid to 300 families affected by curfew in 59th circle of Harbour","Thursday, May 21, 2020",2,DMK,HARBOUR
CHENNAI,10  families headed by Grocerie in Kolathur,"Thursday, May 21, 2020",1,MNM,KOLATHUR
CHENNAI,More than 600 civilians were served lunch in annanagar,"Thursday, May 21, 2020",2.45 ,MNM,ANNA NAGAR
CHENNAI,Rice and Vegetables were supplied in the presence of Section @ @ygmKmadasamy to 10 persons residing in the 96 circle ICF residential area.,"Thursday, May 21, 2020",1,MNM,No Data
CHENNAI,"In Tondairpet 40 circle, 500 wage workers were given 5kg of rice ","Friday, May 22, 2020",2.45 ,ADMK,DR.RADHAKRISHNAN NAGAR
CHENNAI,"For Ramadan - More than 750 Muslims from Broadway has been given Grocery , Rs. 500 per person including basmati rice for Biryani,New  Dresses,  Laptop to One person has been provided  @PKSekarbabu  Provided in MLA arrangement","Friday, May 22, 2020",2.45 ,DMK,HARBOUR
CHENNAI,"For Ramadan - More than 750 Muslims from Harbour  has been given Grocery , Rs. 500 per person including basmati rice for Biryani,New  Dresses,  Tailoring Mchine  to Two person has been provided  @PKSekarbabu  Provided in MLA arrangement","Friday, May 22, 2020",2.45 ,DMK,HARBOUR
CHENNAI,"725 curfew infested People  in Egmore were given Rice, Grocery,Vegetables on behalf of MLA Mr.Sekarbabu and MP Mr. Dayanidhi maran ","Friday, May 22, 2020",2.45 ,DMK,EGMORE
CHENNAI,"Provided Essential grocery items such as rice, Grocery, oil in Annnanagar constituency","Friday, May 22, 2020",2,DMK,ANNA NAGAR
CHENNAI," Under their arrangement, #ChennaiEastDistrictDMK provided breakfast to 900 clean workers in the Kolathur constituency for the 63rd consecutive day.
","Friday, May 22, 2020",2.45 ,DMK,KOLATHUR
CHENNAI, Provided 5 kg of rice to 1100 persons.@chennaicorp  Zone: 14 Ward No. 169 in the Puzhudhivakkam,"Friday, May 22, 2020",3,DMK,SHOZHINGANALLUR
CHENNAI,"Provided 1200 families were given rice, vegetables and flour in the presence of Mr. Mathiyalagan. Secretary in Neelankarai","Friday, May 22, 2020",3,DMK,SHOZHINGANALLUR
CHENNAI,"Presented welfare and gifts to Islamic people on the eve of the Ramadan soap, N95 mask, sanitizer in Kolathur Constiuency to 1400 families","Friday, May 22, 2020",3,DMK,KOLATHUR
CHENNAI,Provided essential needs to 13000 families aaffected by Curfew in SHolinganallur,"Friday, May 22, 2020",4,DMK,SHOZHINGANALLUR
CHENNAI,"Provided essential goods including 5 kg of rice and vegetables to 3500 persons in Pillayar Temple Street, Anjaneyarpetu, Subramani Teeru, Raismil Road in sholinganallur","Friday, May 22, 2020",3.46 ,DMK,SHOZHINGANALLUR
CHENNAI,"Distributed rice, flour, pulses &vegetables to the needy residents @ MMDA Colony, Chennai Arumbakkam","Friday, May 22, 2020",2,INC Tamilnadu,ANNA NAGAR
CHENNAI,"At 10 am on Friday, the government has donated relief items to victims of the coronary epidemic on the Thousand Lights, Government Model School Road, Chennai.","Friday, May 22, 2020",2,INC Tamilnadu,THOUSAND LIGHTS
CHENNAI,50  families given by Groceries in Ayanavaram bus stop,"Friday, May 22, 2020",1,MNM,VILLIVAKKAM
CHENNAI,"Food parcels were given to vulnerable people in Ekkatuthangal,Alandur,Koadambakkaam","Friday, May 22, 2020",2,MNM,ALANDUR
CHENNAI,"50+ families headed by Grocerie in Villivakam ,Ayanavaramby Youth wing MNM","Friday, May 22, 2020",1,MNM,VILLIVAKKAM
CHENNAI,Essential food including rice for 300 families affected by curfew in TVK nagar,"Friday, May 22, 2020",2,DMK,THIRU-VI-KA-NAGAR
CHENNAI,"Essential commodities such as rice, groceries and vegetables  were provided to the poor and simple Congress executives on behalf of the SC department in North Chennai District.","Friday, May 22, 2020",2,INC Tamilnadu,No Data
CHENNAI,Nandiyambakkam area has been serving lunch for 17 consecutive days to the public who are suffering from inadequate food.,"Friday, May 22, 2020",2,INC Tamilnadu,PONNERI
CHENNAI,Biscuits and half litre milk were given to 500 families in Medavakkam,"Friday, May 22, 2020",2.45 ,MNM,SHOZHINGANALLUR
CHENNAI,"500 families in Virugambakkam constituency, were given relief aid of Rs. 5 lakhs worth","Saturday, May 23, 2020",2.45 ,ADMK,VIRUGAMPAKKAM
CHENNAI,"#ChennaiEastDistrictDMK, provided essential food, corona prevention equipment and financial support to 150 families living in the harbor in the harbor area.@Dayanidhi_Maran
","Saturday, May 23, 2020",2,DMK,HARBOUR
CHENNAI,75 food items were delivered in the 71th Circle tiruvikanagar,"Saturday, May 23, 2020",1,MNM,THIRU-VI-KA-NAGAR
CHENNAI,"Vegetables ,Groceries were given to people in Triplicane and Chepauk","Saturday, May 23, 2020",2,MNM,CHEPAUK-THIRUVALLIKENI
CHENNAI,Groceries and Egg  distributed to  needy people in Tnagar,"Saturday, May 23, 2020",2,MNM,TNAGAR
CHENNAI,"#ChennaiEastDistrictDMK on behalf of Harbor Volume, 57'Alex Circle, as a Second Installment for Roadside Residents, Providing Rice, groceries, medical supplies and financial assistance to restore their livelihood","Saturday, May 23, 2020",2,DMK,HARBOUR
CHENNAI,Provided Rice and groceries to people residing in perambur y DMK youth wing,"Saturday, May 23, 2020",2,DMK,PERAMBUR
CHENNAI,"Provided Rice, lentils, oil  and Rava 1000 poor working families affected by curfew in Ward 6 and 24","Saturday, May 23, 2020",3,DMK,TIRUVOTTIYUR
CHENNAI,Distributed 5 kg of rice to each of the 1000 families living in sarathy nagar (kudisai area),"Saturday, May 23, 2020",3,DMK,VELACHERY
CHENNAI,"Sharing the pictures of essential commodities rice, groceries, masks and kapasurakudu water, distributed To 200 people Staying At Ganapathipuram Lake, Chrompet, Chennai by  PrinceDevashINC","Saturday, May 23, 2020",2,INC Tamilnadu,TNAGAR
CHENNAI,Kabasurakudi neer were given to people in Thousandlights,"Saturday, May 23, 2020",2,MNM,THOUSAND LIGHTS
CHENNAI," Provided Rice, pulses, oil, five types of vegetables to Islamic people on Ramazan day","Sunday, May 24, 2020",2,DMDK,No Data
CHENNAI,"@chennaicorp SHolinganallur  Zone 15: Area in Ward No. 198 ,# 144 curfew prompted by central government to help livelihood affected people essential needs were given  to 150 people","Sunday, May 24, 2020",2,DMK,SHOZHINGANALLUR
CHENNAI,#ChennaiEastDistrictDMK provided relief and financial assistance to 400 families affected by curtailment of livelihoods in Kolathur and Harbor constituencies.,"Sunday, May 24, 2020",2,DMK,KOLATHUR
CHENNAI,"#ChennaiEastDistrictDMK, Tiru vika Nagar, in the 76th Circle, distributed groceries including rice, oil and pulses to 200 families affected by corona curfew.","Sunday, May 24, 2020",2,DMK,THIRU-VI-KA-NAGAR
CHENNAI,Provided rice and food items to the public by Royapuram East Youth DMK Team ,"Sunday, May 24, 2020",2,DMK,ROYAPURAM
CHENNAI,"
Chennai South District Secretary Mr. M Subramanian, MLA, along with Basmati rice, groceries and vegetables were presented to the 1200 Islamic families in Alandur on the occasion of Ramadan.","Sunday, May 24, 2020",3,DMK,ALANDUR
CHENNAI,"180 FAMILIES IN HARBOUR WERE given relief aid of rice,dal,oil,bread,biscuit","Sunday, May 24, 2020",2,DMK,HARBOUR
CHENNAI,Kabasurakudi neer were given to people in Tnagar,"Sunday, May 24, 2020",2,MNM,TNAGAR
CHENNAI,Rice for 100 drivers and Vegetables for 150 workers who are in poverty for 60 days,"Sunday, May 24, 2020",2,MNM,No Data
CHENNAI,"Kapasura drinking water at Vannier Street in Thousand Lights Block, 109 Ward","Sunday, May 24, 2020",2,MNM,THOUSAND LIGHTS
CHENNAI,Rice and vegetables wereprovided to100 families in perambur 44 th circle,"Sunday, May 24, 2020",2,MNM,PERAMBUR
CHENNAI,#Rayapuram Essential needs were given  to Simple People and #cleaning workers,"Sunday, May 24, 2020",2,TMC,ROYAPURAM
CHENNAI,Provided Rice and groceries to the vegetable vendors in TVK nagar,"Sunday, May 24, 2020",2,DMK,THIRU-VI-KA-NAGAR
CHENNAI,people were given rice and vegetables in nanganallur and adambakkam,"Sunday, May 24, 2020",2,DMK,ALANDUR
CHENNAI,"@mkstalin have donated Rs.4 Lakhs  funds from  charity Karunanidhi Foundation, Neurology Medicine and Education","Monday, May 25, 2020",3.74 ,DMK,No Data
CHENNAI,"Provided rice and vegetables to 800 families residing in Taramani , by Mr. Wagai Chandrasekhar MLA and Mr. ThambiArima, Mr. S. Sekhar, Area Secretary.","Monday, May 25, 2020",2.45 ,DMK,VELACHERY
CHENNAI,"Provided relief assistance to college students, carers & cleaning workers including rice, vegetables and financial aid.","Monday, May 25, 2020",2,DMK,No Data
CHENNAI,Provided Rice & Vegetables for 10 families in Kolathur,"Monday, May 25, 2020",1,MNM,KOLATHUR
CHENNAI,Provided needed groceries for Ramazan in Perambur,"Monday, May 25, 2020",2,MNM,PERAMBUR
CHENNAI,"On the request of the 64th Circle Ladies Team, 10 women were given rice and groceries at Haridas Road","Monday, May 25, 2020",1,MNM,No Data
CHENNAI,Provided food items to 750 families in Teynampet,"Monday, May 25, 2020",2.45 ,DMK,THOUSAND LIGHTS
CHENNAI,"1500 families in Virugambakkam constituency, were given relief aid of Rs. 10 lakhs worth","Tuesday, May 26, 2020",3,ADMK,VIRUGAMPAKKAM
