DISTRICT,ACTIVITY,DATE,RATINGS,PARTY,ASSEMBLY
Chennai,"In 40th circle of Otha vadai, VOC nagar,New colony,Madavedhi and Kuil kuppam 300 families were given 5kg of rice",15/05/2020,2,AIADMK,No Data
Chennai,The 34 cleaning workers affected by Corono will be given relief of Rs.2 lakhs each,15/05/2020,1,AIADMK,No Data
Chennai,Rs.50 lakhs were given as relief fund from CM relief aid to Mr.Kumar VAO who died while in job and govt job to anyone in family,15/05/2020,1,AIADMK,No Data
Chennai,700 kg of Rice were given to DMK executives each 10kg of Rice in Thousand Light area,15/05/2020,2,DMK,THOUSAND LIGHTS
Chennai,"The President of the Association ordered the barber, transgender, temple clergy, poor, 640 people who have lost their livelihoods, rice, groceries and sandwiches were given in Perambur constituency",15/05/2020,2.45 ,DMK,PERAMBUR
Chennai,Provided rice for 500 families in Royapuram,15/05/2020,2.45 ,DMK,ROYAPURAM
Chennai,5 kg rice was distributed to 700 families in Saidapet - Jyoti Ramalinga City.@Subramanian_ma,15/05/2020,2.45 ,DMK,SAIDAPET
Chennai,"Government of Tamil Nadu provides financial assistance of Rs.2000.Financial assistance of Rs. 2,000 for barber workers who are not members of welfare centers.Rs.2000 financial aid to barber workers will be given in two installments",16/05/2020,2,AIADMK,No Data
Chennai,"Introducing special ""lip gloss masks"" in Tamil Nadu to help hearing impaired and non-speech impaired communicate through the lips.Thereby 81,000 special facial shields are offered at a value of Rs.12.15 lakhs.",16/05/2020,9,AIADMK,No Data
Chennai,#vijayabaskar #TNHealth Visited Chennai #Stanley Hospital. Had discussions with the Dean & Covid team. Overseen the setting up of an additional 300 bedded exclusive #Covid facility in the Stanley premises.,16/05/2020,2,AIADMK,HARBOUR
Chennai,"Containment zones at Puliyanthope & Triplicane with Dr.J. Radhakrishnan IAS & Dr.Arun Thamburaj IAS.Interacted with public, frontline workers,sanitation workers,police personnel & gave away kabasura kudineer kits",16/05/2020,2,AIADMK,CHEPAUK-THIRUVALLIKENI
Chennai,"Virugambakkam constituency, distributed rice, groceries and vegetables.",16/05/2020,2,AIADMK,VIRUGAMPAKKAM
Chennai,"Provided Rice,Oil,Dals to the 1500 families in Egmore77 th circle",16/05/2020,3,DMK,EGMORE
Chennai,Provided Rice for 500 families in Velachery MGR nagar,16/05/2020,2.45 ,DMK,VELACHERY
Chennai,"Today I handed over Rice, Grocery, Oil for 50 Family affected in lockdown in Arumbakkam Christian fellowship.",16/05/2020,1,INC TN,ANNA NAGAR
Chennai,Royapuram Essential needs were given to 58 families and #cleaning workers,16/05/2020,1,TMC,ROYAPURAM
Chennai,"Relief aid was given to over 4600 families in the Saithi constituency, Velachery, Sholinganallur and Alandur",17/05/2020,3.46 ,DMK,SAIDAPET
Chennai,2500 families were provided food in chindhadaripet zone,17/05/2020,3,DMK,CHEPAUK-THIRUVALLIKENI
Chennai,Provided rice to 100 transgenders in Nandhambakkam,17/05/2020,2,DMK,NANDAMBAKKAM
Chennai,150 transgender people with groceries and face mask in and around chennai,17/05/2020,2,MNM,No Data
Chennai,In RK nagar 1500 families were given relief aid by mla Rajesh,18/05/2020,3,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,In thousad lights 550 families were given relief aid of rice and vegetables by mla Rajesh,18/05/2020,2.45 ,AIADMK,THOUSAND LIGHTS
Chennai,"1500 families in Virugambakkam constituency, were given relief aid of Rs. 10 lakhs worth",18/05/2020,3,AIADMK,VIRUGAMPAKKAM
Chennai,"Relief aid was given to over 3200 families in the Saithi constituency, Kottur Canal, Erikkarai, Bharathi Avenue, Peliyamman Temple Street, Kalikkundaram, Narasingapuram, Nehru Nagar, Ganapathi Colony",18/05/2020,3,DMK,SAIDAPET
Chennai,"Provided essential food, medical equipment and financial aid to 300 families affected by curfew in 55th circle of Harbour",18/05/2020,2,DMK,HARBOUR
Chennai,"provided relief items including rice, food items to people in Velachey and Taramani for 1000 families",18/05/2020,3,DMK,VELACHERY
Chennai,"Relief aid was given tofamilies in the Sholinganallur zone 14,ward 186",18/05/2020,2,DMK,SHOZHINGANALLUR
Chennai,"Relief items including rice, lentils and vegetables were presented to the public by Mr. T.R.Balu MP, Chairman of the Parliamentary Committee, to the general public under the 1st Ward, Tambaram",18/05/2020,2,DMK,TAMBARAM
Chennai,6100 families were provided essential needs,18/05/2020,3.46 ,DMK,No Data
Chennai,Maran is the district secretary who has helped 200 poor families on W U C Street in RK nagar,18/05/2020,2,MNM,DR.RADHAKRISHNAN NAGAR
Chennai,150+ in annanagar were given breakfast and Kabasura kudi neer,18/05/2020,2,MNM,ANNA NAGAR
Chennai,Mrs. Priyadarshini led 150 autodriver families with rice and vegetables.,18/05/2020,2,MNM,KOLATHUR
Chennai,150 people were given rice and groceries in Kolathur,18/05/2020,2,MNM,KOLATHUR
Chennai,"provided relief items including rice, lentils and vegetables to the Poor and needys in Tambaram",18/05/2020,2,DMK,TAMBARAM
Chennai,Provided rice and vegetables to the Auto drivers and 200 families in Tambaram,18/05/2020,2,DMK,TAMBARAM
Chennai,"In Thiruverkadu municipality, 3000 families who have no livelihood have been provided with 30 tonnes of rice and 20 tonnes of vegetables.",18/05/2020,3,INC TN,MADURAVOYAL
Chennai,Essential items were provided to 100 people living in poverty in egmore,18/05/2020,2,MNM,EGMORE
Chennai,3 families were given essentials needs in Porur,18/05/2020,1,MNM,MADURAVOYAL
Chennai,"COVID containment zones at Royapuram,Puliyanthoppu, Motilal Street with HS, Corp & Health Officials. Interacted with d people abt d measures taken by #TNGovt in fighting this #pandemic. Distributed kabasura kudineer",19/05/2020,2,AIADMK,ROYAPURAM
Chennai,"In north madras, 300 Auto drivers were given relief aid",19/05/2020,2,AIADMK,No Data
Chennai,Saidapet and Alandur Assembly constituencies in Chennai South Relief aid provided for 4000 families,19/05/2020,3.46 ,DMK,SAIDAPET
Chennai,Essentials need were given 1500 families in Saidapet and alandur,19/05/2020,3,DMK,SAIDAPET
Chennai,50 vulnerable people were served with breakfast in annanagar,19/05/2020,1,MNM,ANNA NAGAR
Chennai,60 people were given rice and groceries in Tiruvikanagar,19/05/2020,1,MNM,THIRU-VI-KA-NAGAR
Chennai,"Relief aid was provided to 5000 families in the areas of Kothamedu, Anna Nagar,Salavai thurai,Appao Nagar, Old Mambalam Road, Tiruvidiyamman Temple Street and Muthurangam Block.",19/05/2020,3.46 ,DMK,TNAGAR
Chennai,Provided rrice to 300 families in Tiruvikanagar,19/05/2020,2,DMK,THIRU-VI-KA-NAGAR
Chennai,Government grants Rs.2000 for unregistered weavers,20/05/2020,2,AIADMK,No Data
Chennai,In Nyngambakkam 700 poor families were given relief aid by mla Sathya,20/05/2020,2.45 ,AIADMK,THOUSAND LIGHTS
Chennai,"850 families were given relief aid in harbour,egmore and villivakkam",20/05/2020,2.45 ,DMK,HARBOUR
Chennai,44 food items were delivered in the 74th Circle tiruvikanagar,20/05/2020,1,MNM,THIRU-VI-KA-NAGAR
Chennai,50 auto drivers were given essential groceries,20/05/2020,1,MNM,No Data
Chennai,"Knowing the loss of livelihoods during this curfew, Kolathur Municipal Secretary @ DVasanthi2 on behalf of @maiamofficial provided them with groceries.",20/05/2020,2,MNM,KOLATHUR
Chennai,#Rayapuram Essential needs were given to Simple People and #cleaning workers as a 3 consecutive day,20/05/2020,2,TMC,ROYAPURAM
Chennai,5kg rice for poor families naar ganag theater in kolathur,20/05/2020,2,MNM,KOLATHUR
Chennai,In chenai harbour constituency apparao garden 450 people were given relief aid and financial assitance by minister jayakumar,21/05/2020,2,AIADMK,HARBOUR
Chennai,"In Tondairpet 42 circle, 550 families of Tsunami residents were given 5kg of rice",21/05/2020,2.45 ,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,Provided breakfast 900 cleaning workers in the Metropolitan Chennai Corporation Zone 6,21/05/2020,2.45 ,DMK,THIRU-VI-KA-NAGAR
Chennai,Provided Non veg meal to cleaning workers in KK nagar by West DMK youth wing,21/05/2020,2,DMK,VIRUGAMPAKKAM
Chennai,"Pump and water tank was installed in the 14th ward area of the Tambaram town, people were given relief supplies, including rice and vegetables, to the poor families",21/05/2020,2,DMK,TAMBARAM
Chennai,4000 families in Virugambakkam and Saidapet assembly constituencies were given relief aid and 300 cleaners were given food.,21/05/2020,2,DMK,VIRUGAMPAKKAM
Chennai,Provided rice at a rate of 5 kg per 700 families in saidapet,21/05/2020,2.45 ,DMK,SAIDAPET
Chennai,"Provided essential food, medical equipment and financial aid to 300 families affected by curfew in 59th circle of Harbour",21/05/2020,2,DMK,HARBOUR
Chennai,10 families headed by Grocerie in Kolathur,21/05/2020,1,MNM,KOLATHUR
Chennai,More than 600 civilians were served lunch in annanagar,21/05/2020,2.45 ,MNM,ANNA NAGAR
Chennai,Rice and Vegetables were supplied in the presence of Section @ @ygmKmadasamy to 10 persons residing in the 96 circle ICF residential area.,21/05/2020,1,MNM,No Data
Chennai,"In Tondairpet 40 circle, 500 wage workers were given 5kg of rice",22/05/2020,2.45 ,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,"For Ramadan - More than 750 Muslims from Broadway has been given Grocery , Rs. 500 per person including basmati rice for Biryani,New Dresses, Laptop to One person has been provided @PKSekarbabu Provided in MLA arrangement",22/05/2020,2.45 ,DMK,HARBOUR
Chennai,"For Ramadan - More than 750 Muslims from Harbour has been given Grocery , Rs. 500 per person including basmati rice for Biryani,New Dresses, Tailoring Mchine to Two person has been provided @PKSekarbabu Provided in MLA arrangement",22/05/2020,2.45 ,DMK,HARBOUR
Chennai,"725 curfew infested People in Egmore were given Rice, Grocery,Vegetables on behalf of MLA Mr.Sekarbabu and MP Mr. Dayanidhi maran",22/05/2020,2.45 ,DMK,EGMORE
Chennai,"Provided Essential grocery items such as rice, Grocery, oil in Annnanagar constituency",22/05/2020,2,DMK,ANNA NAGAR
Chennai,"Under their arrangement, #ChennaiEastDistrictDMK provided breakfast to 900 clean workers in the Kolathur constituency for the 63rd consecutive day.",22/05/2020,2.45 ,DMK,KOLATHUR
Chennai,Provided 5 kg of rice to 1100 persons.@chennaicorp Zone: 14 Ward No. 169 in the Puzhudhivakkam,22/05/2020,3,DMK,SHOZHINGANALLUR
Chennai,"Provided 1200 families were given rice, vegetables and flour in the presence of Mr. Mathiyalagan. Secretary in Neelankarai",22/05/2020,3,DMK,SHOZHINGANALLUR
Chennai,"Presented welfare and gifts to Islamic people on the eve of the Ramadan soap, N95 mask, sanitizer in Kolathur Constiuency to 1400 families",22/05/2020,3,DMK,KOLATHUR
Chennai,Provided essential needs to 13000 families aaffected by Curfew in SHolinganallur,22/05/2020,4,DMK,SHOZHINGANALLUR
Chennai,"Provided essential goods including 5 kg of rice and vegetables to 3500 persons in Pillayar Temple Street, Anjaneyarpetu, Subramani Teeru, Raismil Road in sholinganallur",22/05/2020,3.46 ,DMK,SHOZHINGANALLUR
Chennai,"Distributed rice, flour, pulses &vegetables to the needy residents @ MMDA Colony, Chennai Arumbakkam",22/05/2020,2,INC TN,ANNA NAGAR
Chennai,"At 10 am on Friday, the government has donated relief items to victims of the coronary epidemic on the Thousand Lights, Government Model School Road, Chennai.",22/05/2020,2,INC TN,THOUSAND LIGHTS
Chennai,50 families given by Groceries in Ayanavaram bus stop,22/05/2020,1,MNM,VILLIVAKKAM
Chennai,"Food parcels were given to vulnerable people in Ekkatuthangal,Alandur,Koadambakkaam",22/05/2020,2,MNM,ALANDUR
Chennai,"50+ families headed by Grocerie in Villivakam ,Ayanavaramby Youth wing MNM",22/05/2020,1,MNM,VILLIVAKKAM
Chennai,Essential food including rice for 300 families affected by curfew in TVK nagar,22/05/2020,2,DMK,THIRU-VI-KA-NAGAR
Chennai,"Essential commodities such as rice, groceries and vegetables were provided to the poor and simple Congress executives on behalf of the SC department in North Chennai District.",22/05/2020,2,INC TN,No Data
Chennai,Nandiyambakkam area has been serving lunch for 17 consecutive days to the public who are suffering from inadequate food.,22/05/2020,2,INC TN,PONNERI
Chennai,Biscuits and half litre milk were given to 500 families in Medavakkam,22/05/2020,2.45 ,MNM,SHOZHINGANALLUR
Chennai,"500 families in Virugambakkam constituency, were given relief aid of Rs. 5 lakhs worth",23/05/2020,2.45 ,AIADMK,VIRUGAMPAKKAM
Chennai,"#ChennaiEastDistrictDMK, provided essential food, corona prevention equipment and financial support to 150 families living in the harbor in the harbor area.@Dayanidhi_Maran",23/05/2020,2,DMK,HARBOUR
Chennai,75 food items were delivered in the 71th Circle tiruvikanagar,23/05/2020,1,MNM,THIRU-VI-KA-NAGAR
Chennai,"Vegetables ,Groceries were given to people in Triplicane and Chepauk",23/05/2020,2,MNM,CHEPAUK-THIRUVALLIKENI
Chennai,Groceries and Egg distributed to needy people in Tnagar,23/05/2020,2,MNM,TNAGAR
Chennai,"#ChennaiEastDistrictDMK on behalf of Harbor Volume, 57'Alex Circle, as a Second Installment for Roadside Residents, Providing Rice, groceries, medical supplies and financial assistance to restore their livelihood",23/05/2020,2,DMK,HARBOUR
Chennai,Provided Rice and groceries to people residing in perambur y DMK youth wing,23/05/2020,2,DMK,PERAMBUR
Chennai,"Provided Rice, lentils, oil and Rava 1000 poor working families affected by curfew in Ward 6 and 24",23/05/2020,3,DMK,TIRUVOTTIYUR
Chennai,Distributed 5 kg of rice to each of the 1000 families living in sarathy nagar (kudisai area),23/05/2020,3,DMK,VELACHERY
Chennai,"Sharing the pictures of essential commodities rice, groceries, masks and kapasurakudu water, distributed To 200 people Staying At Ganapathipuram Lake, Chrompet, Chennai by PrinceDevashINC",23/05/2020,2,INC TN,TNAGAR
Chennai,Kabasurakudi neer were given to people in Thousandlights,23/05/2020,2,MNM,THOUSAND LIGHTS
Chennai,"Provided Rice, pulses, oil, five types of vegetables to Islamic people on Ramazan day",24/05/2020,2,DMDK,No Data
Chennai,"@chennaicorp SHolinganallur Zone 15: Area in Ward No. 198 ,# 144 curfew prompted by central government to help livelihood affected people essential needs were given to 150 people",24/05/2020,2,DMK,SHOZHINGANALLUR
Chennai,#ChennaiEastDistrictDMK provided relief and financial assistance to 400 families affected by curtailment of livelihoods in Kolathur and Harbor constituencies.,24/05/2020,2,DMK,KOLATHUR
Chennai,"#ChennaiEastDistrictDMK, Tiru vika Nagar, in the 76th Circle, distributed groceries including rice, oil and pulses to 200 families affected by corona curfew.",24/05/2020,2,DMK,THIRU-VI-KA-NAGAR
Chennai,Provided rice and food items to the public by Royapuram East Youth DMK Team,24/05/2020,2,DMK,ROYAPURAM
Chennai,"Chennai South District Secretary Mr. M Subramanian, MLA, along with Basmati rice, groceries and vegetables were presented to the 1200 Islamic families in Alandur on the occasion of Ramadan.",24/05/2020,3,DMK,ALANDUR
Chennai,"180 FAMILIES IN HARBOUR WERE given relief aid of rice,dal,oil,bread,biscuit",24/05/2020,2,DMK,HARBOUR
Chennai,Kabasurakudi neer were given to people in Tnagar,24/05/2020,2,MNM,TNAGAR
Chennai,Rice for 100 drivers and Vegetables for 150 workers who are in poverty for 60 days,24/05/2020,2,MNM,No Data
Chennai,"Kapasura drinking water at Vannier Street in Thousand Lights Block, 109 Ward",24/05/2020,2,MNM,THOUSAND LIGHTS
Chennai,Rice and vegetables wereprovided to100 families in perambur 44 th circle,24/05/2020,2,MNM,PERAMBUR
Chennai,#Rayapuram Essential needs were given to Simple People and #cleaning workers,24/05/2020,2,TMC,ROYAPURAM
Chennai,Provided Rice and groceries to the vegetable vendors in TVK nagar,24/05/2020,2,DMK,THIRU-VI-KA-NAGAR
Chennai,people were given rice and vegetables in nanganallur and adambakkam,24/05/2020,2,DMK,ALANDUR
Chennai,"@mkstalin have donated Rs.4 Lakhs funds from charity Karunanidhi Foundation, Neurology Medicine and Education",25/05/2020,3.74 ,DMK,No Data
Chennai,"Provided rice and vegetables to 800 families residing in Taramani , by Mr. Wagai Chandrasekhar MLA and Mr. ThambiArima, Mr. S. Sekhar, Area Secretary.",25/05/2020,2.45 ,DMK,VELACHERY
Chennai,"Provided relief assistance to college students, carers & cleaning workers including rice, vegetables and financial aid.",25/05/2020,2,DMK,No Data
Chennai,Provided Rice & Vegetables for 10 families in Kolathur,25/05/2020,1,MNM,KOLATHUR
Chennai,Provided needed groceries for Ramazan in Perambur,25/05/2020,2,MNM,PERAMBUR
Chennai,"On the request of the 64th Circle Ladies Team, 10 women were given rice and groceries at Haridas Road",25/05/2020,1,MNM,No Data
Chennai,Provided food items to 750 families in Teynampet,25/05/2020,2.45 ,DMK,THOUSAND LIGHTS
Chennai,"1500 families in Virugambakkam constituency, were given relief aid of Rs. 10 lakhs worth",26/05/2020,3,AIADMK,VIRUGAMPAKKAM
Chennai,"Provided rice, vegetables to the Cleaning Workers by MLA Mr.Aravind Ramesh in Neelankarai",26/05/2020,2,DMK,SHOZHINGANALLUR
Chennai,"RR Sekhar, Member of the Perambur Legislative Council, distributed rice, lentils, edible oil, wheat flour and maida to 300 persons in the 7th block of Perambur block 35th Circle.",26/05/2020,2,DMK,PERAMBUR
Chennai,"Provided essential food items, including medical supplies and financing for 175 families in harbour 60A circle",26/05/2020,2,DMK,HARBOUR
Chennai,On behalf of the people of the Central Central District of Chennai Around 30 auto drivers in Kodungaiyur area 34 were given rice groceries.,26/05/2020,1,MNM,PERAMBUR
Chennai,On behalf of the people of the Central Central District of Chennai Around 30 auto drivers in Perambur rea 34 were given rice groceries.,26/05/2020,1,MNM,PERAMBUR
Chennai,Kabasurakudi neer were given to people in Tnagar,26/05/2020,2,MNM,TNAGAR
Chennai,"Provided 10kg rice and vegetables to 1300 families and cosecutively to 1600 familes in kumiyandi thoppu, Panayur kuppam",26/05/2020,3,DMK,No Data
Chennai,In Tondairpet 25 laundry workers were givn Iron boxes as 5 year celebration of admk party,27/05/2020,1,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,provided relief and financial assistance to the families of the 110 loading and unloading and barbers workers,27/05/2020,2,DMK,No Data
Chennai,Rice and vegetables were provided to 40 needy families in Kolathur and periyar nagar,27/05/2020,1,MNM,KOLATHUR
Chennai,50+ families headed by Grocerie in Villivakam by Youth wing MNM,27/05/2020,1,MNM,VILLIVAKKAM
Chennai,Lunch has been provided for Visually Impaired Archive people in Tondairpet RK nagar,27/05/2020,2,TMC,DR.RADHAKRISHNAN NAGAR
Chennai,Opening the residence of the Tamil Nadu Housing Change Board and the Tamil Nadu Housing Board in Rs.299.28 by Hn. CM of TN,28/05/2020,4.47 ,AIADMK,No Data
Chennai,In RK nagar 200 families were given relief aid by mla Rajesh,28/05/2020,2,AIADMK,DR.RADHAKRISHNAN NAGAR
Chennai,In royapuram kabasura kudi neer and mooligai tehneer were to given to all families through auto,28/05/2020,2,AIADMK,ROYAPURAM
Chennai,"Providing relief items including rice, pulses and vegetables to poor families in the 27th ward area of the Tambaram municipality, most affected by the curfew.",28/05/2020,2,DMK,TAMBARAM
Chennai,The coronation relief was given to 110 families in the 77th Ward Gurusamy town of Egmore.,28/05/2020,2,MNM,EGMORE
Chennai,"Food parcels were given to vulnerable people andstreet dwellers in Ayanavaram, Perambur,otteri",28/05/2020,2,MNM,PERAMBUR
Chennai,Kabasurakudi neer were given to Traffic police in Mylapore,28/05/2020,1,MNM,MYLAPORE
Chennai,"On behalf of the Villivakkam constituency, City Secretaries headed by Mr- @CMurugadoss T. Vijayaraj @ Sivaligam3 organized the Youth Team City Secretary Sitko B.T.Kabali to provide the public with 75 essential items including rice and groceries.",28/05/2020,2,MNM,VILLIVAKKAM
Chennai,Auto drivers near the Annasalai(25 families suffering from coronal damage) 5kg of rice and vegetables supplied.,28/05/2020,1,MNM,KOLATHUR
